city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,temp,humidity,weather_condition,temp_category,pop_bucket
tokyo,Tokyo,35.687,139.7495,japan,JP,JPN,Tōkyō,primary,37785000.0,1392685764,5.19,37,broken clouds,Cold,Large
jakarta,Jakarta,-6.175,106.8275,indonesia,ID,IDN,Jakarta,primary,33756000.0,1360771077,27.55,80,scattered clouds,Hot,Large
delhi,Delhi,28.61,77.23,india,IN,IND,Delhi,admin,32226000.0,1356872604,16.05,77,mist,Moderate,Large
guangzhou,Guangzhou,23.13,113.26,china,CN,CHN,Guangdong,admin,26940000.0,1156237133,19.77,48,clear sky,Moderate,Large
mumbai,Mumbai,19.0761,72.8775,india,IN,IND,Mahārāshtra,admin,24973000.0,1356226629,26.99,50,smoke,Hot,Large
manila,Manila,14.5958,120.9772,philippines,PH,PHL,Manila,primary,24922000.0,1608618140,25.64,74,few clouds,Hot,Large
shanghai,Shanghai,31.2286,121.4747,china,CN,CHN,Shanghai,admin,24073000.0,1156073548,5.92,61,clear sky,Cold,Large
são paulo,Sao Paulo,-23.5504,-46.6339,brazil,BR,BRA,São Paulo,admin,23086000.0,1076532519,24.3,69,clear sky,Moderate,Large
seoul,Seoul,37.5667,126.9833,"korea, south",KR,KOR,Seoul,primary,23016000.0,1410836482,-5.24,46,clear sky,Cold,Large
mexico city,Mexico City,19.4333,-99.1333,mexico,MX,MEX,Ciudad de México,primary,21804000.0,1484247881,8.96,66,clear sky,Cold,Large
