2026-01-28 16:18:52,461 | INFO | pipeline | Starting data pipeline
2026-01-28 16:18:52,461 | INFO | pipeline | Loading city data
2026-01-28 16:19:25,644 | INFO | pipeline | Starting data pipeline
2026-01-28 16:19:25,644 | INFO | pipeline | Loading city data
2026-01-28 16:19:25,686 | INFO | pipeline | Cleaning city data
2026-01-28 16:19:25,687 | INFO | pipeline | Preparing city payload
2026-01-28 16:19:25,687 | INFO | pipeline | Fetching weather data
2026-01-28 16:19:26,433 | INFO | api_client | Fetching weather for tokyo
2026-01-28 16:19:26,572 | INFO | api_client | Fetching weather for jakarta
2026-01-28 16:19:26,739 | INFO | api_client | Fetching weather for delhi
2026-01-28 16:19:26,885 | INFO | api_client | Fetching weather for guangzhou
2026-01-28 16:19:27,038 | INFO | api_client | Fetching weather for mumbai
2026-01-28 16:19:27,041 | INFO | pipeline | Merging datasets
2026-01-28 16:19:27,045 | INFO | pipeline | Saving final dataset
2026-01-28 16:19:27,048 | INFO | pipeline | Pipeline completed successfully
2026-01-28 16:33:22,046 | INFO | pipeline | Starting data pipeline
2026-01-28 16:33:22,046 | INFO | pipeline | Loading city data
2026-01-28 16:33:22,085 | INFO | pipeline | Cleaning city data
2026-01-28 16:33:22,086 | INFO | pipeline | Preparing city payload
2026-01-28 16:33:22,086 | INFO | pipeline | Fetching weather data
2026-01-28 16:36:34,250 | INFO | pipeline | Starting data pipeline
2026-01-28 16:36:34,250 | INFO | pipeline | Loading city data
2026-01-28 16:36:34,289 | INFO | pipeline | Cleaning city data
2026-01-28 16:36:34,290 | INFO | pipeline | Preparing city payload
2026-01-28 16:36:34,290 | INFO | pipeline | Fetching weather data
2026-01-28 16:36:34,458 | INFO | api_client | Fetching weather for tokyo
2026-01-28 16:36:34,625 | INFO | api_client | Fetching weather for jakarta
2026-01-28 16:36:34,775 | INFO | api_client | Fetching weather for delhi
2026-01-28 16:36:34,954 | INFO | api_client | Fetching weather for guangzhou
2026-01-28 16:36:35,107 | INFO | api_client | Fetching weather for mumbai
2026-01-28 16:36:35,108 | INFO | pipeline | Merging datasets
2026-01-28 16:36:35,110 | INFO | pipeline | Saving final dataset
2026-01-28 16:36:35,111 | INFO | pipeline | Pipeline completed successfully
2026-01-28 16:37:32,353 | INFO | api | GET /cities called
2026-01-28 16:37:51,493 | INFO | api | GET /cities/temp_category called
2026-01-28 16:38:23,130 | INFO | api | GET /cities/jakarta called
2026-01-28 16:38:32,850 | INFO | api | GET /cities/jaipur called
